,Word1,Word2,araneum,ruwikiruscorpora,people_opinion
0,секс,любовь,0.4324119655249565,0.3954744498335077,7.92
1,кот,тигр,0.5157359983607369,0.2769312385966067,6.69
2,тигр,тигр,0.9999999999999998,1.0,10.0
3,бумага,книга,0.24815247172020996,0.289377615746582,7.08
4,клавиатура,компьютер,0.5347990554402554,0.4559644254753987,7.0
5,машина,самолет,0.477121625590706,0.19509591134578247,4.35
6,машина,поезд,0.40965447290398666,0.3290378553683366,4.62
7,коммуникация,телефон,0.2154798749849891,0.2823542824343163,6.38
8,радио,телевидение,0.6420339037429416,0.4897920870930503,7.15
9,радио,медиум,0.19245270605245768,0.21405973563269295,4.92
10,злоупотребление,наркотик,0.37344037235141,0.535411266704484,7.15
11,масло,хлеб,0.3780763914753809,0.3487253378452681,6.31
12,медсестра,врач,0.6629112123025591,0.417454498387462,6.15
13,доктор,профессор,0.7401695325347041,0.5820848538004939,6.77
14,профессор,студент,0.4385133802605309,0.4496336043214788,6.0
15,студент,умный,0.11089297973279699,0.15402207029852844,5.31
16,тупой,умный,0.33047395589445944,0.34966004653447796,6.31
17,телефон,запас,0.02517067452459944,0.1328797679740271,1.08
18,диск,запас,0.12541571079657615,0.15412526076436747,3.31
19,ягуар,запас,0.09336388028885413,0.11140131414064655,0.46
20,яйцо,запас,0.20771534917030912,0.25016057537673614,1.0
21,плодородие,яйцо,0.20642940126489082,0.27948629646289147,3.85
22,библиотека,книга,0.41743536747906307,0.1970464795057071,8.08
23,деньги,банк,0.31025421164575767,0.20144228820592902,8.38
24,лес,дерево,0.49427997047697175,0.3408924751657531,8.31
25,наличные,деньги,0.518357633541633,0.4746967199666813,8.62
26,огурец,профессор,0.0849712503941839,0.18210742803460056,0.38
27,капуста,король,0.1750645172767023,0.21162809801419438,2.69
28,королева,король,0.7057621698686428,0.45740409113213804,7.38
29,ладья,король,0.31437268215977254,0.1870243618405694,6.62
30,раввин,епископ,0.4977771994421302,0.27784631618611655,6.46
31,секс,святой,0.0547380289512332,0.20406301623934445,3.38
32,секс,трахаться,0.6284669695913488,0.2819439027718131,7.81
33,баскетбол,футбол,0.848897757798487,0.42889067352557786,6.85
34,теннис,футбол,0.78469220905019,0.3656204028318675,6.0
35,ракетка,теннис,0.5618605270219371,0.33873014392976497,8.38
36,адвокат,закон,0.2602510893244504,0.23278782670673254,7.85
37,звезда,кино,0.305225280447751,0.17386895838529703,7.15
38,попкорн,кино,0.3371177463318848,0.3004553721814763,6.08
39,критик,кино,0.2867022324802519,0.255517849399053,7.0
40,театр,кино,0.5646734193862872,0.251918955330323,7.54
41,протон,физика,0.28745598385074433,0.3025543581478451,8.38
42,химия,физика,0.6896531609440554,0.5048000183782686,7.23
43,химия,пространство,0.07998598894645814,0.21732285085113465,3.23
44,химия,алкоголь,0.3019728269132737,0.2000810331170982,4.85
45,джин,водка,0.4579290592037668,0.2888520102304002,7.23
46,бренди,водка,0.7280376658767462,0.49320054438726635,7.46
47,машина,напиток,0.1765706490576261,0.23968619060005128,2.08
48,кушать,пить,0.6660216013301307,0.141362829266622,7.62
49,мама,младенец,0.45938238613169713,0.2833470668016998,8.38
50,автомобиль,машина,0.7536631418178437,0.2956570077107794,8.85
51,драгоценность,самоцвет,0.5650344094886337,0.2707173878874878,8.77
52,вояж,путешествие,0.7428180501057151,0.49030798195399916,9.31
53,парень,мальчик,0.6627085214275933,0.47577846001822055,8.62
54,дурдом,убежище,0.18756371685965065,0.23284238761388523,4.54
55,волшебник,маг,0.7022456835082268,0.3333956472557978,9.31
56,плита,горн,0.28876163194300064,0.16242756217230747,3.62
57,фрукт,пища,0.47691259043422507,0.3428509848955179,6.77
58,петух,птица,0.5389023755125009,0.37002991011308456,8.0
59,журавль,птица,0.6164875569515135,0.4189622154626079,8.62
60,орудие,инструмент,0.4028897535335838,0.1918344327468193,7.88
61,монах,брат,0.4549378145688856,0.20409517151175782,5.88
62,орудие,кран,0.19207541841808962,0.3536655325098063,2.54
63,парень,брат,0.4215611529408697,0.3393784419335425,5.0
64,автомобиль,путешествие,0.1684358386146367,0.1737636847587142,7.15
65,оракул,монах,0.38039959874079593,0.21151848671530632,2.69
66,петух,пища,0.1607756435261898,0.2220331818722414,4.0
67,холм,берег,0.6047550242176422,0.2463023223911703,3.31
68,кладбище,лес,0.41068004797707114,0.2623209022409312,2.62
69,раб,монах,0.38566454267391986,0.24922528570146438,1.23
70,лес,берег,0.4637287330923579,0.4805250798369648,2.69
71,маг,парень,0.3691852309794107,0.1888106984001509,1.31
72,улыбка,аккорд,0.18494724802069193,0.2374200325784682,2.0
73,волшебник,стекло,0.112300215248896,0.23469655052016564,1.85
74,струна,полдень,0.15896030310733358,0.1837873963036793,0.38
75,вояж,петух,0.11332188413248416,0.14796321526441447,0.23
76,доллар,деньги,0.49082641177175046,0.2819461691904705,8.38
77,наличные,деньги,0.518357633541633,0.4746967199666813,8.92
78,валюта,деньги,0.3901480252095,0.30374854289060566,8.77
79,богатство,деньги,0.3024047470525363,0.2884779336087606,8.46
80,собственность,деньги,0.24966081141421345,0.28449340432476244,7.46
81,владение,деньги,0.10489264754215195,0.23752897287411992,6.77
82,банк,деньги,0.31025421164575767,0.20144228820592902,8.85
83,депозит,деньги,0.4340737685258736,0.39820892497896,8.46
84,снимание,деньги,0.160275494155634,0.27862278400672136,7.54
85,отмывание,деньги,0.27249310485782174,0.24443907808949888,7.69
86,операция,деньги,0.15483794729376993,0.12753582911739966,6.15
87,ягуар,тигр,0.5872673665475368,0.3810410393757847,7.0
88,кошачий,тигр,0.3945983117041874,0.3344595293385273,7.54
89,хищник,тигр,0.6171210150384164,0.22381469691871614,8.31
90,млекопитающее,тигр,0.4385866811595179,0.17164523072138432,7.54
91,животное,тигр,0.5009533910298047,0.17533067079838202,8.08
92,организм,тигр,0.1348961319808386,0.13128159506167186,5.0
93,фауна,тигр,0.3450828477782695,0.13861457872976654,5.46
94,зоопарк,тигр,0.44545159855816097,0.23836665802716545,6.69
95,психиатрия,психология,0.6723371697786905,0.5359472329457957,7.38
96,тревога,психология,0.16342362808506516,0.20702979637359792,6.54
97,страх,психология,0.20217121692114956,0.17592588186758618,6.46
98,депрессия,психология,0.2837808175903846,0.2765520001739178,7.31
99,клиника,психология,0.22294967586976824,0.31808160454212686,6.0
100,врач,психология,0.21025920090566802,0.30453683085369204,5.92
101,ум,психология,0.24529768201154167,0.23348973039494927,6.85
102,здоровье,психология,0.2521178761423476,0.1525153586980011,6.77
103,наука,психология,0.4865006676840815,0.40057965562301817,7.38
104,дисциплина,психология,0.40773533409758567,0.21262805626991735,5.77
105,познание,психология,0.38123378191874013,0.5265674238433621,6.46
106,звезда,планета,0.4591458876007489,0.2898158964043584,8.08
107,созвездие,планета,0.5478299755869099,0.4051873407792867,7.69
108,луна,планета,0.6240246532216785,0.31993120550950804,8.62
109,солнце,планета,0.46523330776757826,0.32038102057420875,8.15
110,галактика,планета,0.6841226001685622,0.4512756438100588,7.23
111,космос,планета,0.6032884174631191,0.2433094341323959,7.46
112,астроном,планета,0.3683006374048506,0.14989706276513814,8.08
113,пример,прецедент,0.35453146872838875,0.18208433323598774,6.69
114,информация,прецедент,0.19250103342439087,0.123051289546943,5.08
115,познание,прецедент,0.11235277299087494,0.19268923588737769,5.15
116,закон,прецедент,0.31780627368634795,0.2460442406529883,5.54
117,коллекция,прецедент,0.164478003794255,0.09195432597772707,2.31
118,группа,прецедент,0.06345220232103121,0.11299694234531088,2.23
119,кофе,чашка,0.6292786248305535,0.5449403588539046,7.69
120,посуда,чашка,0.5139003939640295,0.3191886067027324,8.08
121,объект,чашка,0.04360689252990926,0.08611424354820738,4.92
122,артефакт,чашка,0.17622553586370204,0.16321742277779328,3.77
123,объект,чашка,0.04360689252990926,0.08611424354820738,4.15
124,сущность,чашка,0.10654245621376728,0.08979653239708527,2.31
125,еда,чашка,0.3873495737968373,0.21145044697099655,5.0
126,вещество,чашка,0.14368996216914584,0.11160102641985116,2.69
127,жидкость,чашка,0.32673111600838306,0.1778544678296607,6.54
128,кот,ягуар,0.3618392589349849,0.3338078581284371,5.62
129,автомобиль,ягуар,0.3918670067240046,0.2403629848843371,6.38
130,министр,энергия,0.08106281424200591,0.10260158951584765,5.46
131,сенат,министр,0.40224931540952447,0.39118073943671705,5.85
132,лаборатория,энергия,0.13415589844855205,0.2315858936721108,5.69
133,лаборатория,компьютер,0.21795607904928718,0.2470293288075443,5.85
134,секрет,оружие,0.2033001740143324,0.2643548557524329,6.31
135,усилие,расследование,0.13406169104396848,0.17621496178632506,5.31
136,ландшафт,каньон,0.4054384659661322,0.2997206745580151,7.15
137,поверхность,изображение,0.2890694651406828,0.16893159328433424,6.31
138,космос,открытие,0.18610964374662742,0.19693214327936437,7.23
139,утечка,вода,0.18125837513802384,0.19752553672117015,7.23
140,выемка,знак,0.1050305021975586,0.11155458792847653,3.46
141,километр,миля,0.7441666892297452,0.27954328445560517,7.92
142,поверхность,территория,0.13368994901759543,0.2780999456275028,5.77
143,ландшафт,атмосфера,0.3407936832720132,0.3427294095225025,4.38
144,медаль,президент,0.18388860733671072,0.25867178836800325,3.85
145,войска,война,0.3333692641552211,0.2180244646770038,8.38
146,число,рекорд,0.18312064253320376,0.2015438648057029,6.85
147,глаз,кожа,0.2963539713390765,0.41435829601052665,4.85
148,американец,японец,0.7316304198115002,0.3707968220845473,5.77
149,история,театр,0.24379769193361736,0.0450420910656115,4.69
150,девиз,волонтер,0.3194114756814782,0.2924087796920524,3.15
151,признание,предубеждение,0.19585419661860848,0.16527603224087364,2.85
152,доблесть,орден,0.5012932083396213,0.2426228876269962,7.31
153,год,век,0.24005324452901866,0.05162840859680835,7.46
154,нация,век,0.18351852060871546,0.08379697052141583,2.77
155,расизм,замедление,0.09919301440138857,0.17866942050213241,3.23
156,партия,министр,0.20743156375499563,0.3550348601819544,6.62
157,план,мир,0.18204025378977368,0.21727827965336152,4.38
158,мир,меньшинство,0.18254153298970766,0.2883046388048846,2.54
159,мир,попытка,0.1709275478431118,0.15897481712422418,3.92
160,кризис,правительство,0.23211677934585762,0.13559204896626462,6.62
161,отъезд,развертывание,0.16676160810520296,0.20015743330540106,1.69
162,отход,развертывание,0.24159939144821352,0.5124729830085649,2.46
163,кризис,энергия,0.10587967083283485,0.21551501811161186,4.46
164,усилие,объявление,0.12138662376186542,0.1549362667176498,1.62
165,больница,инсульт,0.3547283717302573,0.34838753378849635,7.08
166,смерть,инвалидность,0.3283025212305811,0.16241374940380204,6.0
167,экстренный,потерпевший,0.22488560834778099,0.3164891150966639,4.69
168,восстановление,лечение,0.29671475076947473,0.2681788054557955,7.46
169,ассоциация,журнал,0.27233391259619366,0.2937463064577794,3.0
170,персонал,доктор,0.23851813559145515,0.19481956166229344,7.23
171,ответственность,доктор,0.09411170147934136,0.21067020862734864,6.69
172,страховка,ответственность,0.20599444527837166,0.2965433122098766,6.15
173,центр,школа,0.3302591538933294,0.41415602996597495,4.15
174,гипертония,причина,0.1867530126041186,0.2576492928344254,4.23
175,критерий,причина,0.3720154014640556,0.3234125872045006,4.54
176,процент,сто,0.38644871684988963,0.271781737944123,7.77
177,инфраструктура,больница,0.2506338721383671,0.35352960610421336,5.85
178,ряд,смерть,0.0950904884356312,0.25522517612750534,1.69
179,заключенный,смерть,0.25332365192139705,0.22546386667913434,3.69
180,свидетельство,адвокат,0.19382387290417666,0.1739330346341336,6.38
181,смерть,жизнь,0.3130564310393269,0.5053751200367007,7.92
182,срок,жизнь,0.04409829925991993,0.12640971241031257,7.0
183,подобие,слово,0.19250061479085803,0.2516433431734746,4.0
184,рекомендация,комитет,0.20306707404589833,0.3533404672064945,3.62
185,интервью,губернатор,0.22637559469445515,0.1872548436004525,4.46
186,обстановка,мир,0.20561607781950078,0.15899529186649483,5.0
187,страховка,мир,0.12637009669172847,0.1890760461940442,2.0
188,километр,территория,0.30254436857499545,0.23358712597254588,5.38
189,активность,путешествие,0.10587515937624,0.10354880388342624,6.08
190,цена,конкуренция,0.26530968347085837,0.40854570115051014,6.77
191,уверенность,потребитель,0.10441494262589054,0.21762094734196447,3.38
192,энергия,потребитель,0.2750863103329946,0.17991533284810945,6.15
193,аэропорт,проблема,0.13656301612689203,0.1918955453012454,3.15
194,полет,машина,0.20726408944027244,0.18158863992750868,3.38
195,карточка,кредит,0.20405063118234623,0.27759979982590377,7.62
196,информация,доверие,0.18720258517761423,0.19196795827868401,5.31
197,бронирование,отель,0.451820029418881,0.2457345775281517,7.08
198,деньги,бакалея,0.1382316962003321,0.3182940476026874,2.77
199,договоренность,регистрация,0.13964373282946976,0.39022075558227187,3.0
200,жилье,расположение,0.07438736937178432,0.13550256089892435,4.77
